utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T10:25:44.5714228Z,warmup,60.1,60,60,0,0,0,0,0,0,72940,224555008,102424576,27255208,1301608,0,0,0
2026-09-15T10:26:44.5930441Z,warmup,120.1,120,120,0,0,0,0,0,0,62697,224292864,101548032,27255208,1301608,0,0,0
2026-09-15T10:27:44.6072991Z,warmup,180.1,179,179,0,0,0,0,0,0,61763,224473088,101531648,27255208,1301608,0,0,0
2026-09-15T10:28:44.6265527Z,warmup,240.1,238,238,0,0,0,0,0,1,61835,225034240,102072320,27255208,1301608,0,0,0
2026-09-15T10:29:44.6499696Z,warmup,300.2,298,298,0,0,0,0,0,0,61599,223891456,100896768,27255208,1301608,0,0,0
2026-09-15T10:30:44.6675629Z,warmup,360.2,357,357,0,0,0,0,0,1,61382,225636352,102637568,27255208,1301608,0,0,0
2026-09-15T10:31:44.6831061Z,warmup,420.2,417,417,0,0,0,0,0,0,60404,230461440,107048960,30389312,1498320,1,0,0
2026-09-15T10:32:44.7144592Z,warmup,480.2,477,477,0,0,0,0,0,0,59999,230535168,107061248,30389312,1498320,0,0,0
2026-09-15T10:33:44.7250919Z,warmup,540.2,536,536,0,0,0,0,0,0,60921,230629376,107151360,30389312,1498320,0,0,0
2026-09-15T10:34:44.7409646Z,warmup,600.3,596,595,0,0,0,0,0,1,60203,230567936,107114496,30389312,1498320,0,0,0
2026-09-15T10:35:44.7658041Z,warmup,660.3,655,655,0,0,0,0,0,0,61983,229457920,105979904,30389312,1498320,0,0,0
2026-09-15T10:36:44.7852761Z,warmup,720.3,715,715,0,0,0,0,0,0,65258,230391808,106856448,30389312,1498320,0,0,0
2026-09-15T10:37:44.7963952Z,warmup,780.3,774,774,0,0,0,0,0,0,59396,230367232,106782720,30389312,1498320,0,0,0
2026-09-15T10:38:44.8066588Z,warmup,840.3,833,833,0,0,0,0,0,0,61548,230264832,106704896,30389312,1498320,0,0,0
2026-09-15T10:39:44.8173168Z,sustained,900.3,893,893,0,0,0,0,0,0,62308,232775680,109092864,30389312,1498320,0,0,0
2026-09-15T10:40:44.8398264Z,sustained,960.4,4476,4476,0,0,0,0,0,0,3297252,243126272,122769408,31086440,1498320,7,2,1
2026-09-15T10:41:44.8643196Z,sustained,1020.4,4923,4922,0,0,0,0,0,1,414495,241696768,121331712,31086440,1498320,1,0,0
2026-09-15T10:42:44.8750055Z,sustained,1080.4,5369,5369,0,0,0,0,0,0,417488,242208768,121962496,31086440,1498320,2,0,0
2026-09-15T10:43:44.8880395Z,sustained,1140.4,5817,5817,0,0,0,0,0,0,415752,242155520,121868288,31086440,1498320,2,0,0
2026-09-15T10:44:44.9114865Z,sustained,1200.4,6265,6265,0,0,0,0,0,0,417926,242163712,121864192,30842400,1498320,2,0,0
2026-09-15T10:45:44.9336157Z,sustained,1260.4,6712,6712,0,0,0,0,0,0,419689,242204672,121929728,30842400,1498320,3,0,0
2026-09-15T10:46:44.9568719Z,sustained,1320.5,7160,7160,0,0,0,0,0,0,417819,242221056,121925632,30842400,1498320,2,0,0
2026-09-15T10:47:44.9759923Z,sustained,1380.5,7609,7609,0,0,0,0,0,0,418338,242262016,121954304,30842400,1498320,2,0,0
2026-09-15T10:48:44.9948200Z,sustained,1440.5,8057,8057,0,0,0,0,0,0,421734,242675712,122232832,30842400,1498320,3,0,0
2026-09-15T10:49:45.0097338Z,sustained,1500.5,8505,8505,0,0,0,0,0,0,420071,242630656,122163200,30942136,1498320,1,0,0
2026-09-15T10:50:45.0313112Z,sustained,1560.5,8952,8952,0,0,0,0,0,0,423919,227315712,106692608,31623880,1498320,2,0,0
2026-09-15T10:51:45.0535173Z,sustained,1620.6,9400,9400,0,0,0,0,0,0,416235,218943488,98365440,31710152,1498320,2,0,0
2026-09-15T10:52:45.0650933Z,sustained,1680.6,9847,9847,0,0,0,0,0,0,419782,218107904,97353728,31909400,1498320,2,0,0
2026-09-15T10:53:45.0748867Z,sustained,1740.6,10296,10296,0,0,0,0,0,0,418731,218099712,97320960,31909392,1498320,3,0,0
2026-09-15T10:54:45.0964125Z,sustained,1800.6,10769,10768,1,0,0,0,0,1,441688,218595328,97673216,33273008,1498320,4,0,0
2026-09-15T10:55:45.1196662Z,sustained,1860.6,14387,14387,0,0,0,0,0,0,3321697,218820608,97566720,31937656,1498320,35,0,0
2026-09-15T10:56:45.1431684Z,sustained,1920.7,14836,14836,0,0,0,0,0,0,420234,216875008,95633408,35203784,1498320,4,0,0
2026-09-15T10:57:45.1668914Z,sustained,1980.7,15284,15284,0,0,0,0,0,0,417083,217214976,96112640,32001872,1498320,2,0,0
2026-09-15T10:58:45.1898844Z,sustained,2040.7,15733,15733,0,0,0,0,0,0,420419,217157632,96022528,32066488,1498320,3,0,0
2026-09-15T10:59:45.2234362Z,sustained,2100.7,16179,16179,0,0,0,0,0,0,419818,217296896,96215040,36025312,1498320,3,0,0
2026-09-15T11:00:45.2393782Z,sustained,2160.7,16628,16628,0,0,0,0,0,0,423029,217571328,96538624,35314880,1498320,2,0,0
2026-09-15T11:01:45.2485195Z,sustained,2220.8,17077,17077,0,0,0,0,0,0,421510,218329088,97255424,33361416,1498320,3,0,0
2026-09-15T11:02:45.2721403Z,sustained,2280.8,17527,17527,0,0,0,0,0,0,419213,218329088,97259520,33481560,1498320,4,0,0
2026-09-15T11:03:45.2956119Z,sustained,2340.8,17976,17976,0,0,0,0,0,0,423726,218046464,96890880,33943144,1498320,4,0,0
2026-09-15T11:04:45.3069158Z,sustained,2400.8,18424,18424,0,0,0,0,0,0,415965,218054656,96940032,34051304,1498320,4,0,0
2026-09-15T11:05:45.3299564Z,sustained,2460.8,18872,18872,0,0,0,0,0,0,419179,218152960,97071104,34275216,1498320,4,0,0
2026-09-15T11:06:45.3443470Z,sustained,2520.9,19320,19320,0,0,0,0,0,0,422837,220479488,99442688,35656384,1498320,3,0,0
2026-09-15T11:07:45.3605840Z,sustained,2580.9,19768,19768,0,0,0,0,0,0,420593,222633984,101707776,35215264,1498320,3,0,0
2026-09-15T11:08:45.3797169Z,sustained,2640.9,20216,20216,0,0,0,0,0,1,417987,222023680,100978688,35428232,1498320,3,0,0
2026-09-15T11:09:45.3979686Z,sustained,2700.9,20709,20709,0,0,0,0,0,0,459911,222052352,101019648,36429704,1498320,4,0,0
2026-09-15T11:10:45.4105418Z,sustained,2760.9,24331,24331,0,0,0,0,0,0,3327830,220942336,99758080,35987776,1498320,33,1,1
