utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T09:52:33.9795407Z,warmup,5.1,6,6,0,0,0,0,0,0,578810,228474880,107524096,27615848,1301048,0,0,0
2026-09-15T09:52:39.0132053Z,sustained,10.1,23,23,0,0,0,0,0,1,636379,231325696,109142016,27615848,1301048,0,0,0
2026-09-15T09:52:44.0333093Z,sustained,15.1,66,65,0,0,0,0,0,1,508479,236109824,113455104,27615848,1301048,0,0,0
2026-09-15T09:52:49.0503618Z,sustained,20.2,121,121,0,0,0,0,0,0,686710,228872192,107716608,27615848,1301048,0,0,0
2026-09-15T09:52:54.0711670Z,sustained,25.2,180,180,0,0,0,0,0,0,673771,225116160,103428096,27615848,1301048,0,0,0
2026-09-15T09:52:59.0896601Z,sustained,30.2,223,223,0,0,0,0,0,1,515884,225787904,103968768,27615848,1301048,0,0,0
2026-09-15T09:53:04.1139758Z,sustained,35.2,276,276,0,0,0,0,0,0,620529,225796096,103964672,27615848,1301048,0,0,0
2026-09-15T09:53:09.1387833Z,sustained,40.3,336,336,0,0,0,0,0,0,715569,228675584,106844160,27615848,1301048,0,0,0
2026-09-15T09:53:14.1584222Z,sustained,45.3,384,384,0,0,0,0,0,1,558394,230203392,107937792,30291512,1497760,1,0,0
2026-09-15T09:53:19.1825466Z,sustained,50.3,434,434,0,0,0,0,0,0,584598,230219776,107941888,30291512,1497760,0,0,0
