utc,phase,elapsed_s,sent,published,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T10:23:24.2336555Z,warmup,5.1,5,5,0,0,0,0,0,0,175203,224092160,105320448,27324880,1301608,0,0,0
2026-09-15T10:23:29.2587055Z,sustained,10.1,24,24,0,0,0,0,0,0,254763,229068800,108949504,27324880,1301608,0,0,0
2026-09-15T10:23:34.2745986Z,sustained,15.1,64,63,0,1,0,0,0,1,462990,235433984,113790976,27324880,1301608,0,0,0
2026-09-15T10:23:39.2911069Z,sustained,20.1,121,121,0,0,0,0,0,0,678832,232488960,110088192,27324880,1301608,0,0,0
2026-09-15T10:23:44.3033350Z,sustained,25.2,184,184,0,0,0,0,0,0,687760,224313344,103563264,27324880,1301608,0,0,0
2026-09-15T10:23:49.3291193Z,sustained,30.2,229,228,0,0,0,0,0,1,487559,225570816,104132608,27324880,1301608,0,0,0
2026-09-15T10:23:54.3479705Z,sustained,35.2,281,281,0,0,0,0,0,0,599946,225599488,104067072,27324880,1301608,0,0,0
2026-09-15T10:23:59.3599775Z,sustained,40.2,341,341,0,0,0,0,0,0,667643,224976896,101912576,27324880,1301608,0,0,0
2026-09-15T10:24:04.3802275Z,sustained,45.2,383,383,0,0,0,0,0,0,465913,225574912,103198720,27324880,1301608,0,0,0
2026-09-15T10:24:09.3971129Z,sustained,50.2,437,437,0,0,0,0,0,0,609873,229232640,106483712,31947944,1638528,1,0,0
2026-09-15T10:24:14.4175725Z,drain,55.3,454,454,0,0,0,0,0,0,196127,230666240,107610112,31947944,1638528,0,0,0
2026-09-15T10:24:19.4333282Z,drain,60.3,454,454,0,0,0,0,0,0,9761,229855232,106573824,31947944,1638528,0,0,0
