utc,phase,elapsed_s,sent,published,futures_quotes,option_quotes,depth,inflight,failed,rejected,expired,outstanding_leases,allocated_Bps,working_set_B,private_B,heap_B,loh_B,gen0_delta,gen1_delta,gen2_delta
2026-09-15T21:53:34.0507015Z,warmup,60.1,2064,2064,11968,120128,0,0,0,0,0,0,2322007,242499584,124891136,31870872,1441816,5,2,1
2026-09-15T21:54:34.0959040Z,sustained,120.1,4128,4128,24000,240192,0,0,0,0,0,1,2292950,242155520,124272640,31870872,1441816,5,0,0
2026-09-15T21:55:34.1131686Z,sustained,180.2,6191,6191,35968,360256,0,0,0,0,0,0,2294358,241389568,123342848,31870872,1441816,13,0,0
2026-09-15T21:56:34.1332079Z,sustained,240.2,8254,8254,48000,480256,0,0,0,0,0,1,2289859,218767360,100536320,31870872,1441816,14,0,0
2026-09-15T21:57:34.1445753Z,sustained,300.2,10318,10318,60032,600320,0,0,0,0,0,0,2293145,214659072,96419840,31870872,1441816,15,0,0
2026-09-15T21:58:34.1682869Z,sustained,360.2,12380,12380,72000,720320,0,0,0,0,0,1,2291167,214880256,96628736,31870872,1441816,16,0,0
2026-09-15T21:59:34.1823944Z,sustained,420.2,14444,14444,84032,840384,0,0,0,0,0,0,2291876,215891968,97665024,32118168,1441816,18,0,0
2026-09-15T22:00:34.1938664Z,sustained,480.2,16507,16507,96000,960448,0,0,0,0,0,0,2291392,216145920,97918976,32447560,1441816,19,0,0
2026-09-15T22:01:34.2041066Z,sustained,540.2,18570,18570,108032,1080448,0,0,0,0,0,0,2290796,218550272,100237312,32447560,1441816,17,0,0
2026-09-15T22:02:34.2269338Z,sustained,600.3,20633,20632,120000,1200512,0,0,0,0,0,1,2289275,219549696,101257216,32447560,1441816,14,0,0
2026-09-15T22:03:34.2408857Z,sustained,660.3,22696,22696,132032,1320512,0,0,0,0,0,0,2295825,219566080,100958208,32447560,1441816,13,0,0
2026-09-15T22:04:34.2528451Z,sustained,720.3,24759,24758,144000,1440576,0,1,0,0,0,1,2291993,220385280,101715968,32606032,1441816,13,0,0
2026-09-15T22:05:34.2763374Z,sustained,780.3,26822,26822,156032,1560576,0,0,0,0,0,0,2293328,220143616,101654528,33376192,1441816,14,0,0
2026-09-15T22:06:34.2892746Z,drain,840.3,27068,27068,157440,1574912,0,0,0,0,0,0,275157,220016640,101330944,33376192,1441816,1,0,0
2026-09-15T22:07:34.3153583Z,drain,900.4,27068,27068,157440,1574912,0,0,0,0,0,0,2914,219762688,101277696,33376192,1441816,0,0,0
